minibuy 全天猫商品覆盖率 
商品是否有效|类目|id| rate  
------------ | ------------- | ------------ | ------------  
有效:|   店铺未上线宝贝|   530460493262|    ct1
有效:|   prime|   44021183199|    ct2
有效:|   优惠|   44214747730|    ct3
有效:|   老网厅|   522180263433|    ct4
有效:|   超市大站|   44050718193|    ct5
有效:|   搭配宝|   39891368177|    ct6
有效:|   阿里通信|   39990583842|    ct7
失效:|    家装建材-建材安装|   2100551137099|   cw1
有效:|   大促＋聚划算|   43551859829|    ct8
有效:|   大秒|   45015948674|    ct9
有效:|   商家资质|   35598268721|    ct10
有效:|   预售商品|   41704373245|    ct11
有效:|   阿里通信-号卡商品|   43061286155|    ct12
失效:|    Sugar:8|   null|   cw2
有效:|   汽车4s服务|   43130183879|    ct13
有效:|   大促＋聚划算|   43551787788|    ct14
有效:|   阿里通信|   44259421944|    ct15
有效:|   预售商品|   41657103148|    ct16
有效:|   优惠|   41520715742|    ct17
有效:|   商超卖家包邮|   530927414377|    ct18
有效:|   Sugar:16|   529089347424|    ct19
有效:|   Sugar:2|   523333455126|    ct20
有效:|   优惠|   43717011730|    ct21
失效:|    Sugar:5|   null|   cw3
失效:|    Sugar:11|   null|   cw4
失效:|    货到付款|   2100550650557|   cw5
有效:|   猫客专享|   43739294395|    ct22
有效:|   新版卖点|   522567808844|    ct23
有效:|   Sugar:28|   531204974850|    ct24
有效:|   汽车金融detail定制页|   527562703503|    ct25
有效:|   大促＋聚划算|   43552031654|    ct26
有效:|   渠道库存|   43799353154|    ct27
有效:|   3c认证|   520892911436|    ct28
有效:|   热点商品|   45682536008|    ct29
有效:|   9s视频|   38521541084|    ct30
失效:|    Sugar:17|   null|   cw6
有效:|   无SKU|   45131269965|    ct31
失效:|    Sugar:12|   null|   cw7
有效:|   无线主图|   530817680077|    ct32
失效:|    Sugar:37|   null|   cw8
有效:|   搭配宝|   43782858289|    ct33
有效:|   区域限售2114|   39859906919|    ct34
有效:|   大促＋聚划算|   522165316638|    ct35
有效:|   优惠|   40254455441|    ct36
有效:|   Sugar:24|   520285585713|    ct37
有效:|   搭配宝|   39890716995|    ct38
有效:|   屏蔽购物车|   523013066325|    ct39
失效:|    预售商品|   2100550992143|   cw9
失效:|    Sugar:25|   null|   cw10
失效:|    搭配宝|   2000032830015|   cw11
有效:|   预售商品|   41704373245|    ct40
有效:|   商超生鲜店|   521427285382|    ct41
有效:|   天猫超市|   530527314306|    ct42
失效:|    Sugar:18|   null|   cw12
有效:|   Sugar:29|   14430451214|    ct43
有效:|   Sugar:13|   534284625250|    ct44
有效:|   3d主图|   527455032210|    ct45
失效:|    Sugar:15|   null|   cw13
有效:|   隐藏月销量、库存和成交记录|   528268092600|    ct46
有效:|   分阶段付款 |   43482968464|    ct47
有效:|   Sugar:4|   526515259436|    ct48
有效:|   Sugar:3|   526975353771|    ct49
失效:|    Sugar:19|   null|   cw14
有效:|   区域限售2114|   39859906919|    ct50
有效:|   关联商品|   41572748070|    ct51
失效:|    Sugar:35|   null|   cw15
有效:|   分期购6期免息|   41781051445|    ct52
有效:|   大促＋聚划算|   43610485252|    ct53
有效:|   电子凭证|   522957474007|    ct54
有效:|   聚划算预售 |   523743482888|    ct55
有效:|   汽车dvd安装服务|   527346361688|    ct56
失效:|    优惠|   2100502151400|   cw16
有效:|   定制商品标|   530268304669|    ct57
有效:|   PC上部分商品引导到手机端|   529736109223|    ct58
有效:|   新品|   530087095786|    ct59
失效:|    Sugar:36|   null|   cw17
有效:|   最高三期分期|   527954225363|    ct60
有效:|   Sugar:23|   530922520373|    ct61
有效:|   全民健康服务|   531640557083|    ct62
有效:|   Sugar:34|   534588865952|    ct63
有效:|   天猫app双蛋节|   521183809641|    ct64
有效:|   去啊国际|   45608852200|    ct65
有效:|   禁止非无线app购买|   530219445830|    ct66
有效:|   优惠|   15647142185|    ct67
失效:|    先试后买|   1111111111111|   cw18
有效:|   Sugar:9|   45011696124|    ct68
有效:|   家装建材-建材安装|   2224693749|    ct69
有效:|   有机食品认证|   40193764153|    ct70
有效:|   区域限售2114|   39890716995|    ct71
有效:|   Sugar:27|   25163732117|    ct72
失效:|    特卖会 |   531155888675|   cw19
有效:|   倍数购买|   44730692024|    ct73
有效:|   一阶尾款商品|   39717128804|    ct74
有效:|   优惠|   42203246587|    ct75
有效:|   全积分换购 |   520026361688|    ct76
有效:|   大促＋聚划算|   522165006352|    ct77
有效:|   结构化详情|   529420098972|    ct78
有效:|   区域限售2114|   39859906919|    ct79
失效:|    家装服务|   2100608204208|   cw20
有效:|   Sugar:33|   44593408954|    ct80
有效:|   Sugar:10|   527346506730|    ct81
有效:|   ios屏蔽展示|   15620105540|    ct82
失效:|    搭配宝|   2000032830015|   cw21
有效:|   优惠|   44296336795|    ct83
有效:|   新材质|   45465906464|    ct84
有效:|   天猫国际跨境商品|   37114180110|    ct85
失效:|    渠道库存|   39848279167|   cw22
有效:|   区域限售2178|   521238688477|    ct86
有效:|   优惠|   40254455441|    ct87
失效:|    分期购|   123455555555|   cw23
失效:|    家装建材-建材送货上门|   2100665097828|   cw24
有效:|   汽车金融|   527389925428|    ct88
有效:|   未成年人不可以购买|   523023810299|    ct89
有效:|   家装建材-建材自提|   16304901215|    ct90
有效:|   优惠|   43590354452|    ct91
失效:|    酒店团购|   525182091075|   cw25
有效:|   只支持购物车|   530735889521|    ct92
有效:|   汽车轮胎安装服务|   43417684104|    ct93
失效:|    配置option32的商品在各端不显示|   529736109026|   cw26
